# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
269312 263 2.43099003630198e-05
269824 263.5 2.38391504768355e-05
270336 264 2.33803846648141e-05
270848 264.5 2.29333026761999e-05
271360 265 2.24976544214659e-05
271872 265.5 2.20732439634749e-05
272384 266 2.16598974785927e-05
272896 266.5 2.12574129454566e-05
273408 267 2.08656033745796e-05
273920 267.5 2.04843142800728e-05
274432 268 2.01131760851721e-05
274944 268.5 1.97510366132475e-05
275456 269 1.93980565726587e-05
275968 269.5 1.90545905351395e-05
276480 270 1.8720994610559e-05
276992 270.5 1.83976132129165e-05
277504 271 1.80847502741138e-05
278016 271.5 1.77826574128676e-05
278528 272 1.74917048792449e-05
279040 272.5 1.72123156673842e-05
279552 273 1.6944727997353e-05
280064 273.5 1.66890367399383e-05
280576 274 1.64452016674416e-05
281088 274.5 1.62129380101047e-05
281600 275 1.5991783777696e-05
282112 275.5 1.57811231920059e-05
282624 276 1.5580236785342e-05
283136 276.5 1.53883336215498e-05
283648 277 1.52045771938235e-05
284160 277.5 1.50282335356613e-05
284672 278 1.48586769616195e-05
285184 278.5 1.4695261206964e-05
285696 279 1.45370476540328e-05
286208 279.5 1.43829278840011e-05
286720 280 1.42319693424897e-05
287232 280.5 1.40834280254705e-05
287744 281 1.39362026016698e-05
288256 281.5 1.37893578862892e-05
288768 282 1.36430029211542e-05
289280 282.5 1.34973438489645e-05
289792 283 1.33526386066451e-05
290304 283.5 1.32091882082847e-05
290816 284 1.30673270737973e-05
291328 284.5 1.29274037001173e-05
291840 285 1.27897558677988e-05
292352 285.5 1.26547066542541e-05
292864 286 1.25225733574237e-05
293376 286.5 1.23935264669797e-05
293888 287 1.22676151502718e-05
294400 287.5 1.21448721231778e-05
294912 288 1.20253221955146e-05
295424 288.5 1.19089784370065e-05
295936 289 1.17958386509718e-05
296448 289.5 1.16858927352522e-05
296960 290 1.15791246437747e-05
297472 290.5 1.14755085036618e-05
297984 291 1.13750047807344e-05
298496 291.5 1.12775655117729e-05
